Timestamp,1. what is your age,2. What is your gender?,district,4. In which village or area do you live?,5. How many years have you been farming?,6. Do you farm on your own land or rented land?,7. What type of crops or produce do you grow?,8. What is the approximate size of your farm?,9. What is your average production per season?,10. Where do you sell most of your produce?,local_price,city_price,13. Transport frequency,transports_to_city,transport_cost,challenges,phone_ownership,18. Internet access,19. Comfort using apps,use_app_willingness,21. Payment methods,preferred_solutions,23. Willing to join cooperative,24. Biggest challenge (open-ended),25. Recommended solution (open-ended),26. Consent,27. May we contact you?,28. Phone number (optional),price_difference,profit_potential
5/9/2025 11:45,45–54,Male,Lilongwe,Require Village,1–3 years,Family land,Rice,3–5 acres,9,Home/Village,820.72,887.1265361,Occasionally,Yes,1841.99,"High cost, Long distance",Smartphone,Sometimes,2,Maybe,"Bank, Mobile Money",Cooperative transport,3,Democrat car very number line six space.,Though firm financial huge spring.,Yes,No,,66.40653609999993,-1775.5834639
5/19/2025 16:46,35–44,Female,Dedza,Sit Village,4–7 years,Own land,"Groundnuts, Maize, Beans",3–5 acres,87,City market,680.87,936.2482369,Once per season,Yes,8872.16,No transport,No,Always,4,Yes,Mobile Money,Aggregation centre,1,Behind probably great in tell.,Education send course ground sit tend forward.,Yes,No,,255.37823690000005,-8616.7817631
2/19/2025 19:03,55+,Female,Ntcheu,Wait Village,8–15 years,Rented land,"Rice, Groundnuts, Vegetables",1–2 acres,82,Home/Village,597.26,740.2183823,Once per season,Yes,14406.75,"No transport, Middlemen",No,Never,4,Maybe,Mobile Money,Price information,4,Pull worker better.,Son join hundred keep.,Yes,No,,142.95838230000004,-14263.7916177
9/18/2025 16:55,25–34,Male,Mangochi,Offer Village,More than 15 years,Rented land,Beans,3–5 acres,30,Home/Village,681.33,,Weekly,Sometimes,,"Long distance, No transport, Bad roads",Smartphone,Never,2,Maybe,Bank,Mobile app,3,Rock song body court movie cell.,Fund cost reality happen something entire.,Yes,No,,,
9/12/2025 13:27,45–54,Male,Karonga,Begin Village,More than 15 years,Rented land,"Maize, Fruits",3–5 acres,66,City market,656.87,,Weekly,No,,"Bad roads, Spoilage",Feature phone,Rarely,2,No,"Cash, Bank","Training, Mobile app, Aggregation centre",4,Everything economic type kitchen.,Risk bad own state.,Yes,No,,,
4/2/2025 2:00,25–34,Female,Nkhatabay,Performance Village,8–15 years,Rented land,"Maize, Groundnuts",More than 5 acres,8,City market,596.06,850.7564108,Never,No,,"Bad roads, Spoilage, High cost",Smartphone,Never,3,Yes,"Bank, Mobile Money","Aggregation centre, Cooperative transport, Price information",4,Better present music address behavior send door.,Family bill foreign fast knowledge response coach.,Yes,No,,254.69641080000008,
2/8/2025 20:29,45–54,Female,Mzimba,Knowledge Village,1–3 years,Family land,"Vegetables, Groundnuts",Less than 1 acre,93,Middlemen,836.4,949.5271874,Monthly,Sometimes,,"Middlemen, High cost, Long distance",Smartphone,Sometimes,4,Yes,"Mobile Money, Cash","Price information, Training",2,Magazine degree husband around her world.,Goal amount thank good your ever.,Yes,No,,113.12718740000003,
4/21/2025 17:40,55+,Male,Karonga,Almost Village,More than 15 years,Own land,Fruits,1–2 acres,113,Home/Village,782.35,832.60737,Never,Sometimes,,"Long distance, Spoilage, High cost",Smartphone,Sometimes,4,Yes,Cash,"Price information, Training, Mobile app",1,Unit size expect recent room.,Avoid point guy song.,Yes,No,,50.25736999999992,
8/29/2025 14:18,18–24,Female,Mzimba,All Village,4–7 years,Own land,"Vegetables, Maize",1–2 acres,46,Home/Village,602.67,692.4045708,Weekly,No,,Long distance,Feature phone,Always,3,Maybe,"Cash, Bank",Aggregation centre,5,Product main couple design around save article.,Well central parent sit.,Yes,No,,89.73457080000003,
1/28/2025 2:39,45–54,Male,Dedza,Better Village,1–3 years,Family land,"Maize, Vegetables",1–2 acres,93,Middlemen,635.22,,Occasionally,No,,No transport,Smartphone,Always,1,Yes,Cash,"Cooperative transport, Price information",1,Arm once me system church whether.,Call door population.,Yes,No,,,
3/17/2025 3:32,25–34,Female,Mzimba,Discover Village,4–7 years,Own land,"Fruits, Vegetables",3–5 acres,22,Town market,186.12,,Weekly,No,,Long distance,Feature phone,Never,3,Maybe,Mobile Money,"Training, Mobile app",5,Surface attention attack technology.,Him note painting quickly we head.,Yes,No,,,
5/4/2025 9:58,55+,Male,Lilongwe,Early Village,Less than 1 year,Rented land,"Vegetables, Beans",3–5 acres,44,Town market,618.94,,Monthly,No,,Bad roads,Smartphone,Rarely,5,Maybe,"Mobile Money, Bank",Training,1,Build three east organization people information.,Off morning huge power.,Yes,No,,,
7/8/2025 16:33,45–54,Male,Mangochi,Mouth Village,1–3 years,Own land,"Maize, Fruits, Beans",3–5 acres,76,Town market,180.92,,Weekly,No,,"Middlemen, No transport",No,Never,4,No,Mobile Money,"Training, Aggregation centre, Cooperative transport",4,North first end prove fire enter capital population.,Whether ago control military trial.,Yes,No,,,
6/25/2025 0:19,18–24,Male,Nkhatabay,Play Village,More than 15 years,Rented land,"Maize, Beans",More than 5 acres,43,Middlemen,561.78,728.9148542,Monthly,Yes,3454.24,"Spoilage, High cost",Smartphone,Never,2,No,"Bank, Mobile Money","Training, Cooperative transport",3,First sell authority leader your you available.,Energy employee land you.,Yes,No,,167.13485420000006,-3287.1051457999997
5/8/2025 12:24,18–24,Female,Blantyre,Agreement Village,1–3 years,Family land,Rice,Less than 1 acre,108,Home/Village,849.55,1135.625909,Monthly,Sometimes,,Spoilage,Smartphone,Never,5,No,Cash,Training,3,Media car give attention each.,Really your customer career available.,Yes,No,,286.07590900000014,
8/28/2025 8:43,35–44,Female,Mzimba,Option Village,1–3 years,Own land,"Rice, Groundnuts",3–5 acres,18,Middlemen,539.06,,Monthly,Yes,10660.07,"Spoilage, Bad roads, High cost",No,Never,4,No,Cash,Mobile app,2,Citizen street region particularly would.,Together knowledge because radio.,Yes,No,,,
9/14/2025 2:15,35–44,Male,Karonga,Decide Village,1–3 years,Family land,Groundnuts,Less than 1 acre,36,Middlemen,481.25,,Monthly,No,,"Long distance, Spoilage, Middlemen",Feature phone,Sometimes,3,No,Bank,Aggregation centre,5,Account stage federal professional voice care break.,Property remember nearly face feel church.,Yes,No,,,
4/29/2025 17:06,25–34,Female,Lilongwe,Sense Village,1–3 years,Own land,"Beans, Groundnuts",More than 5 acres,55,Town market,369.0,444.5484049,Monthly,No,,"High cost, No transport",Feature phone,Rarely,5,Maybe,Mobile Money,"Aggregation centre, Mobile app",5,Score choice example decision.,Soldier meeting building cut.,Yes,No,,75.54840489999998,
9/27/2025 7:29,45–54,Male,Blantyre,Rate Village,4–7 years,Rented land,"Fruits, Maize, Beans",1–2 acres,42,Local market,234.37,497.9224436,Occasionally,No,,Middlemen,Smartphone,Sometimes,4,Maybe,"Bank, Mobile Money","Mobile app, Cooperative transport, Aggregation centre",5,Data plant enough major town suffer.,Door management guess occur.,Yes,No,,263.5524436,
8/15/2025 20:51,45–54,Male,Nkhatabay,Science Village,Less than 1 year,Family land,"Fruits, Beans, Vegetables",3–5 acres,101,Home/Village,661.72,,Never,Yes,3813.07,Spoilage,No,Rarely,1,Yes,"Bank, Mobile Money",Training,4,Plant stop analysis four.,Sound necessary partner beat finally yourself rest.,Yes,No,,,
3/1/2025 4:25,35–44,Female,Blantyre,Offer Village,8–15 years,Own land,"Rice, Groundnuts",Less than 1 acre,27,Town market,284.82,466.5760241,Once per season,Yes,8501.59,High cost,Feature phone,Always,1,Maybe,"Mobile Money, Cash","Aggregation centre, Mobile app",5,Pm energy scientist necessary.,Improve important offer by first avoid letter.,Yes,No,,181.7560241,-8319.833975900001
8/8/2025 15:19,45–54,Female,Lilongwe,Kind Village,1–3 years,Rented land,"Fruits, Vegetables, Beans",Less than 1 acre,67,Local market,230.7,487.1801914,Never,No,,Long distance,Smartphone,Never,2,Maybe,Mobile Money,"Training, Cooperative transport, Mobile app",3,Night born war real chance along.,General there sister policy consider whom item.,Yes,No,,256.4801914,
8/9/2025 3:32,45–54,Male,Mangochi,Discussion Village,More than 15 years,Family land,"Groundnuts, Maize, Beans",3–5 acres,19,Local market,445.23,569.8236077,Monthly,Yes,2353.47,"No transport, Middlemen",No,Sometimes,4,No,"Cash, Mobile Money","Aggregation centre, Training, Cooperative transport",4,Old challenge camera final together someone.,Story million fight class.,Yes,No,,124.5936077,-2228.8763922999997
5/22/2025 13:19,18–24,Female,Mangochi,List Village,1–3 years,Family land,Groundnuts,1–2 acres,101,City market,706.74,,Occasionally,Yes,7305.19,"Bad roads, High cost",Feature phone,Rarely,1,Maybe,"Bank, Mobile Money","Training, Mobile app, Price information",1,Together decide economic.,Generation wait thus suffer economy.,Yes,No,,,
11/10/2025 16:18,35–44,Female,Ntcheu,Perform Village,More than 15 years,Own land,"Groundnuts, Maize",1–2 acres,29,Home/Village,671.55,931.5367912,Weekly,No,,"Middlemen, Spoilage",Feature phone,Always,3,No,Cash,Cooperative transport,5,Government nice themselves wind.,Ever person pass behavior political option oil.,Yes,No,,259.9867912000001,
5/3/2025 20:26,55+,Male,Mangochi,Fall Village,4–7 years,Own land,Vegetables,1–2 acres,21,Local market,188.42,431.625695,Occasionally,Yes,11586.29,"Bad roads, Spoilage, Middlemen",No,Always,4,Yes,"Bank, Cash",Cooperative transport,5,Understand door class son.,Probably result painting successful.,Yes,No,,243.20569500000002,-11343.084305
6/16/2025 8:06,35–44,Male,Ntcheu,Table Village,More than 15 years,Own land,"Groundnuts, Beans, Rice",More than 5 acres,101,Town market,468.6,576.1134208,Monthly,Sometimes,,"High cost, No transport",No,Never,3,Yes,Cash,"Training, Mobile app, Price information",1,Thing agent say forward.,American tell ball we side enough decision.,Yes,No,,107.51342079999995,
3/7/2025 11:50,55+,Female,Blantyre,True Village,8–15 years,Rented land,"Fruits, Rice",Less than 1 acre,115,City market,515.7,598.5337816,Occasionally,Sometimes,,Bad roads,No,Rarely,3,Maybe,"Cash, Bank",Training,5,Soon ten specific environment skin blue.,Indicate police marriage phone face what lot.,Yes,No,,82.83378159999995,
1/2/2025 21:02,18–24,Male,Dedza,According Village,Less than 1 year,Own land,Groundnuts,Less than 1 acre,70,Home/Village,601.18,868.1935806,Occasionally,Sometimes,,"Spoilage, No transport, Middlemen",No,Sometimes,1,Yes,"Mobile Money, Bank","Training, Cooperative transport",1,Teach develop staff.,Father authority art keep machine daughter.,Yes,No,,267.01358060000007,
5/2/2025 15:22,25–34,Male,Karonga,Song Village,More than 15 years,Family land,Beans,Less than 1 acre,82,Middlemen,605.12,895.9291634,Monthly,Sometimes,,High cost,Smartphone,Never,4,Maybe,Cash,"Training, Mobile app",4,Glass star the development process huge everything.,Century technology floor write generation human set middle.,Yes,No,,290.8091634,
4/6/2025 14:31,45–54,Female,Karonga,Sure Village,More than 15 years,Family land,"Vegetables, Fruits, Groundnuts",More than 5 acres,57,Town market,405.29,463.1155784,Occasionally,No,,Middlemen,No,Sometimes,5,Yes,"Bank, Mobile Money","Mobile app, Price information, Cooperative transport",3,Whom evidence political hundred.,Five letter environment easy.,Yes,No,,57.82557839999998,
11/2/2025 2:52,18–24,Male,Blantyre,Collection Village,Less than 1 year,Own land,"Vegetables, Rice, Fruits",Less than 1 acre,108,Local market,542.47,,Once per season,No,,"No transport, High cost, Spoilage",Feature phone,Always,1,No,Cash,"Price information, Mobile app, Aggregation centre",1,Former agree theory end oil worker although.,Anything war ten industry.,Yes,No,,,
3/28/2025 0:46,45–54,Male,Mzimba,Save Village,8–15 years,Own land,"Beans, Fruits",More than 5 acres,108,Local market,486.74,719.5575167,Once per season,No,,"High cost, Long distance, Bad roads",Feature phone,Sometimes,1,No,"Bank, Cash",Cooperative transport,2,Its rock finish paper memory history office effort.,Spend value return couple.,Yes,No,,232.81751669999994,
10/4/2025 14:10,25–34,Female,Mzimba,Knowledge Village,1–3 years,Family land,"Rice, Maize, Vegetables",1–2 acres,55,Town market,769.5,1046.881128,Occasionally,Sometimes,,"Middlemen, Bad roads, Spoilage",Smartphone,Sometimes,4,No,"Cash, Mobile Money",Price information,1,Ability understand Mrs rest score provide.,Marriage method material final.,Yes,No,,277.381128,
10/15/2025 7:35,25–34,Female,Mangochi,Grow Village,More than 15 years,Rented land,Beans,3–5 acres,43,Local market,521.19,785.530023,Weekly,Sometimes,,No transport,Feature phone,Never,4,No,Mobile Money,"Price information, Training",5,Issue we TV perhaps professional by.,Bed hotel lead.,Yes,No,,264.340023,
9/6/2025 21:02,18–24,Male,Karonga,Fall Village,Less than 1 year,Own land,"Beans, Rice, Maize",Less than 1 acre,55,City market,458.72,749.8501181,Monthly,Yes,5866.0,"Middlemen, Bad roads",Feature phone,Sometimes,3,Maybe,Mobile Money,Mobile app,4,Medical project for recent never.,Democrat good anything manager think.,Yes,No,,291.1301181,-5574.8698819
6/19/2025 8:58,25–34,Male,Karonga,Clearly Village,4–7 years,Own land,"Rice, Vegetables",Less than 1 acre,74,Home/Village,433.14,673.1635196,Once per season,Yes,10308.76,Bad roads,No,Never,4,Yes,Mobile Money,"Aggregation centre, Mobile app, Price information",4,Inside wait quality total past.,Experience account blue care enough hand idea.,Yes,No,,240.0235196,-10068.7364804
4/18/2025 10:50,55+,Female,Ntcheu,Dinner Village,Less than 1 year,Family land,"Vegetables, Groundnuts",1–2 acres,10,City market,550.7,711.2746906,Weekly,Sometimes,,"Bad roads, Spoilage",Feature phone,Always,3,Maybe,"Bank, Mobile Money","Mobile app, Price information",1,Image street fight decision size.,Hundred now crime.,Yes,No,,160.57469059999994,
11/23/2025 6:23,25–34,Female,Dedza,Source Village,4–7 years,Own land,"Maize, Fruits, Groundnuts",3–5 acres,71,Local market,712.78,840.7679976,Occasionally,Sometimes,,"Middlemen, High cost",Smartphone,Never,1,No,"Mobile Money, Cash",Mobile app,3,Pressure let kind degree list top somebody college.,Eye hit late near stay perhaps particularly.,Yes,No,,127.98799759999997,
5/20/2025 14:39,45–54,Female,Lilongwe,Great Village,8–15 years,Rented land,"Groundnuts, Maize, Fruits",More than 5 acres,11,Middlemen,526.88,657.0656851,Weekly,Sometimes,,Spoilage,No,Never,2,Maybe,"Cash, Mobile Money","Training, Cooperative transport, Aggregation centre",2,Exist professional people behavior.,Window hour some fund.,Yes,No,,130.1856851,
2/22/2025 3:49,45–54,Female,Mzimba,Blue Village,1–3 years,Family land,"Beans, Rice",3–5 acres,55,Home/Village,613.16,,Never,Sometimes,,"Middlemen, Bad roads",No,Rarely,5,Yes,Bank,Price information,4,Pull different current agency each.,Sense current meeting matter and case.,Yes,No,,,
9/21/2025 22:08,45–54,Male,Karonga,Best Village,Less than 1 year,Own land,Fruits,1–2 acres,76,Home/Village,666.5,,Once per season,Yes,12136.3,"Middlemen, Bad roads",Smartphone,Sometimes,1,Maybe,"Bank, Mobile Money",Mobile app,5,Particularly shoulder lay though offer responsibility himself.,Sound mind chance throw cause use.,Yes,No,,,
10/12/2025 15:48,45–54,Female,Ntcheu,Husband Village,More than 15 years,Family land,"Groundnuts, Vegetables, Beans",1–2 acres,46,Town market,514.12,745.2256682,Occasionally,Sometimes,,"High cost, Bad roads, Middlemen",No,Always,4,Yes,Mobile Money,"Aggregation centre, Training",5,During prevent accept seem show blood.,Class wrong school federal from stock.,Yes,No,,231.10566819999997,
5/9/2025 18:23,55+,Female,Nkhatabay,Bill Village,8–15 years,Own land,"Maize, Groundnuts, Beans",3–5 acres,68,Town market,448.77,,Monthly,Yes,13980.49,"Spoilage, Middlemen",No,Never,5,Maybe,Cash,Cooperative transport,3,Despite sound receive let newspaper true.,Majority none little admit former body indicate.,Yes,No,,,
7/6/2025 9:29,35–44,Male,Ntcheu,Her Village,Less than 1 year,Own land,Groundnuts,More than 5 acres,19,Middlemen,763.67,1000.129253,Occasionally,Sometimes,,Bad roads,Smartphone,Always,2,Yes,"Bank, Mobile Money","Price information, Training",4,Lead soon property write.,Someone rise read ago listen.,Yes,No,,236.459253,
6/29/2025 18:03,18–24,Female,Mzimba,Throw Village,More than 15 years,Own land,Vegetables,More than 5 acres,115,Home/Village,442.25,542.3397859,Monthly,Sometimes,,"High cost, No transport, Bad roads",No,Rarely,2,Yes,Mobile Money,Aggregation centre,1,Fish sense kind spring throughout interview trade knowledge.,Officer return on color pick people subject challenge.,Yes,No,,100.08978590000004,
6/22/2025 23:02,45–54,Male,Mzimba,Guy Village,Less than 1 year,Rented land,"Maize, Vegetables, Groundnuts",Less than 1 acre,33,Middlemen,473.36,740.3907034,Occasionally,Sometimes,,"High cost, Long distance",Smartphone,Sometimes,3,No,"Bank, Mobile Money","Training, Mobile app",5,Season listen else easy.,All way body affect finish.,Yes,No,,267.0307034,
5/20/2025 7:42,25–34,Female,Ntcheu,Pm Village,4–7 years,Rented land,"Maize, Fruits",More than 5 acres,37,Town market,843.24,,Weekly,Yes,4284.99,"Spoilage, No transport, Bad roads",Smartphone,Never,5,Yes,Mobile Money,Aggregation centre,3,She miss phone ever back.,Include data maybe particularly.,Yes,No,,,
10/28/2025 21:21,45–54,Female,Lilongwe,Everything Village,Less than 1 year,Family land,"Groundnuts, Beans",3–5 acres,98,Town market,150.17,378.9010101,Weekly,Yes,6590.42,"Bad roads, High cost, Long distance",Feature phone,Sometimes,3,No,Cash,"Training, Price information",4,Doctor from throw ball character.,Their save artist catch debate foot production.,Yes,No,,228.73101010000002,-6361.6889899
4/29/2025 15:12,25–34,Female,Blantyre,Surface Village,Less than 1 year,Own land,Beans,1–2 acres,107,Home/Village,279.83,,Weekly,No,,"No transport, Long distance",Feature phone,Rarely,1,No,Bank,"Mobile app, Price information",4,Really relationship ask imagine my indeed.,Heavy what least mouth national put test.,Yes,No,,,
7/9/2025 2:54,25–34,Male,Mzimba,Animal Village,Less than 1 year,Own land,"Maize, Fruits, Rice",Less than 1 acre,31,City market,418.77,609.4575716,Never,Sometimes,,"Bad roads, Middlemen",No,Rarely,5,No,Mobile Money,Cooperative transport,4,Strategy hope show watch affect.,Particular court east newspaper different.,Yes,No,,190.68757160000007,
8/3/2025 5:57,45–54,Male,Ntcheu,Show Village,8–15 years,Rented land,Vegetables,Less than 1 acre,40,Local market,802.81,,Monthly,No,,High cost,No,Always,1,Maybe,"Bank, Cash","Training, Price information",4,Herself accept goal send table well industry.,Side relate real major look.,Yes,No,,,
2/12/2025 6:23,55+,Female,Karonga,Machine Village,Less than 1 year,Own land,Beans,1–2 acres,33,Town market,199.02,366.903115,Weekly,No,,"No transport, Long distance, Middlemen",Smartphone,Never,3,Maybe,Cash,Aggregation centre,4,Son today major event magazine home protect.,Value somebody event business quality here woman.,Yes,No,,167.883115,
3/10/2025 6:17,25–34,Male,Ntcheu,Not Village,More than 15 years,Rented land,"Rice, Vegetables, Beans",More than 5 acres,42,Town market,156.64,342.4482014,Never,Yes,3133.82,"No transport, High cost",No,Always,5,Maybe,Mobile Money,"Mobile app, Cooperative transport, Price information",5,Right subject try wonder move trade.,West source fact explain research get.,Yes,No,,185.80820140000003,-2948.0117986
9/8/2025 16:58,25–34,Male,Dedza,Capital Village,4–7 years,Own land,"Vegetables, Fruits",1–2 acres,61,City market,186.88,,Monthly,Yes,14894.77,"Bad roads, High cost, Long distance",Smartphone,Rarely,3,Maybe,Cash,"Price information, Training",3,North agree poor career left anyone here deep.,Pretty section degree still even no.,Yes,No,,,
8/24/2025 14:10,45–54,Male,Blantyre,Win Village,4–7 years,Family land,"Beans, Vegetables",More than 5 acres,101,City market,211.98,301.7914346,Occasionally,No,,Bad roads,Smartphone,Sometimes,5,Yes,Bank,"Training, Cooperative transport",4,Front they everything week instead strong.,Case past only drug prove.,Yes,No,,89.81143460000001,
2/1/2025 20:03,25–34,Male,Nkhatabay,Human Village,Less than 1 year,Own land,"Fruits, Beans, Groundnuts",1–2 acres,105,Middlemen,176.32,,Never,Sometimes,,Middlemen,No,Always,3,Yes,Cash,Price information,2,Affect much yourself glass practice sit prepare.,Difficult do beyond form line race case.,Yes,No,,,
4/19/2025 23:31,25–34,Male,Lilongwe,Bar Village,8–15 years,Own land,"Fruits, Groundnuts",3–5 acres,31,Middlemen,485.85,586.7753123,Once per season,Yes,13978.01,Bad roads,Smartphone,Always,2,Maybe,"Mobile Money, Bank",Mobile app,2,Wear current after.,Within citizen present thing little practice sense.,Yes,No,,100.92531229999997,-13877.0846877
11/17/2025 23:00,45–54,Male,Mangochi,Old Village,8–15 years,Rented land,"Vegetables, Rice",More than 5 acres,59,Local market,556.53,,Never,Sometimes,,"Spoilage, No transport, Middlemen",Feature phone,Sometimes,3,Yes,"Bank, Mobile Money","Mobile app, Price information, Aggregation centre",3,Draw list boy way.,Fly position traditional become off.,Yes,No,,,
2/24/2025 8:54,45–54,Female,Nkhatabay,Finally Village,More than 15 years,Own land,Beans,3–5 acres,37,Local market,340.18,412.9711226,Never,Sometimes,,"Bad roads, Middlemen",No,Always,2,Yes,Mobile Money,Price information,1,Record short cold parent security boy standard.,School sure also TV individual study value.,Yes,No,,72.7911226,
7/29/2025 4:17,18–24,Female,Blantyre,Themselves Village,Less than 1 year,Own land,Maize,Less than 1 acre,72,Home/Village,428.8,,Monthly,No,,Bad roads,Feature phone,Sometimes,3,No,Mobile Money,Training,1,Blue agent find quality when.,Young however many.,Yes,No,,,
3/18/2025 6:52,55+,Male,Blantyre,Production Village,4–7 years,Rented land,"Maize, Vegetables",1–2 acres,90,Middlemen,214.19,302.6045095,Occasionally,No,,"Long distance, Bad roads, Middlemen",No,Never,5,No,"Bank, Mobile Money","Aggregation centre, Mobile app, Price information",1,Walk cup option store drug recent.,Theory across nothing blue work.,Yes,No,,88.41450950000001,
4/13/2025 5:31,55+,Female,Blantyre,Present Village,8–15 years,Family land,"Beans, Vegetables, Fruits",Less than 1 acre,70,Town market,385.46,548.8834087,Once per season,No,,"No transport, Long distance, High cost",Smartphone,Sometimes,5,No,"Bank, Cash","Cooperative transport, Price information",2,Sure outside building worker site.,Lawyer political modern threat care.,Yes,No,,163.42340870000004,
10/12/2025 21:07,25–34,Female,Nkhatabay,Value Village,Less than 1 year,Family land,Maize,Less than 1 acre,14,Middlemen,515.76,698.3485984,Weekly,No,,"Bad roads, Spoilage",No,Never,5,No,"Bank, Cash","Price information, Mobile app, Training",1,Mouth product attention positive actually information.,Life cover both class learn either control.,Yes,No,,182.58859840000002,
9/1/2025 8:30,55+,Female,Karonga,Training Village,8–15 years,Rented land,"Fruits, Maize, Beans",Less than 1 acre,9,Town market,662.59,717.0554731,Weekly,Yes,8559.4,"Spoilage, High cost, Middlemen",Feature phone,Sometimes,4,Yes,"Mobile Money, Bank","Training, Cooperative transport, Price information",5,Black whether player stock religious itself safe.,So nothing serious compare task today.,Yes,No,,54.46547309999994,-8504.9345269
1/30/2025 16:40,25–34,Female,Blantyre,High Village,8–15 years,Rented land,Maize,Less than 1 acre,78,City market,152.34,401.539457,Never,Yes,12788.47,"Spoilage, No transport, Bad roads",Smartphone,Rarely,1,Maybe,Cash,Price information,4,Pattern try simple let stay.,Middle beautiful protect continue cell food.,Yes,No,,249.19945700000002,-12539.270542999999
10/10/2025 12:05,18–24,Male,Ntcheu,Participant Village,4–7 years,Rented land,"Maize, Vegetables",1–2 acres,101,Middlemen,477.12,,Monthly,No,,Bad roads,No,Rarely,5,Yes,"Mobile Money, Cash","Mobile app, Training",2,Environmental system store beautiful think during let particular.,According himself land environment form.,Yes,No,,,
1/30/2025 6:46,45–54,Female,Nkhatabay,Dark Village,1–3 years,Rented land,Groundnuts,Less than 1 acre,42,City market,357.9,,Monthly,Yes,8293.41,"Bad roads, Spoilage, No transport",No,Never,2,Yes,Bank,Aggregation centre,3,From management foot maintain great election.,Reveal activity president realize artist brother fill if.,Yes,No,,,
